nombre,edad,sexo,programa,promedio
Ana Martínez,19,Femenino,ADSO,4.3
Luis Gómez,21,Masculino,ADSO,3.8
Carlos Pérez,20,Masculino,Sistemas,4.5
Laura Rodríguez,22,Femenino,ADSO,4.1
Andrés López,23,Masculino,Sistemas,3.6
María Fernández,19,Femenino,ADSO,4.7
Jorge Ramírez,24,Masculino,Telemática,3.9
Diana Torres,20,Femenino,ADSO,4.0
Camilo Vargas,21,Masculino,Sistemas,3.5
Paula Herrera,22,Femenino,Telemática,4.6
Daniel Castro,23,Masculino,ADSO,3.7
Natalia Rojas,20,Femenino,Sistemas,4.4
Sebastián Molina,19,Masculino,ADSO,4.2
Valentina Cruz,21,Femenino,Telemática,3.9
Felipe Moreno,22,Masculino,Sistemas,4.8
Sara Ortiz,20,Femenino,ADSO,4.1
Juan Sánchez,24,Masculino,Telemática,3.4
Alejandra Silva,23,Femenino,Sistemas,4.3
Miguel Díaz,21,Masculino,ADSO,3.8
Karen Muñoz,22,Femenino,Telemática,4.5
